name,sector,year_founded,label_date,website,description,founders,email
South fruits Agri,Agritech,2017,01/2024,www.south-fruits.com,"SFA est une entreprise de production et de commercialisation des dattes et dérivés installée principalement à Kébili. Ona créée une plateforme de commerce internationale en ligne de produits agricoles et de leur dérivés. Cette Marketplace sera alimentée par des produits écologiques qui proviennent d'agriculteurs, artisans et autres startups partenaires.",Thouraya Rajah,administration@south-fruits.com
LoDeep,EdTech,2021,02/2021,http://www.lodeep.com,LoDeep est un espace de co-révision en ligne pour les étudiants qui leur permet de trouver un partenaire avec qui ils peuvent étudier et réviser ensemble et en ligne à travers une plateforme.,"Ahmed Ghrib, Zied Ben Amar",n.a.
Vynd,FoodTech & New Food,2016,05/2019,https://www.vynd.com/,Vynd est une application mobile de découverte et réservation de restaurants avec un objectif de fournir une plateforme intégrée qui digitalise les activités des restaurants.,"Adam Chebbi, Khalil Ben Hamouda",n.a.
ZIGOFILTRE,Environment,2020,05/2021,,Zigofiltre offre une solution qui permet de garder les réseaux de canalisations propres et dégagés dans le but de diminuer le risque des inondations et de la pollution marine.,"Youssef Bouzariata, Mohemed Rameh, Amine Shiri",n.a.
Business Computer Services,Business Software and services,2019,01/2022,,"Business Computer Services offre un progiciel intégré pour la gestion des écoles, universités, instituts et centres de formation.","Tarek Debara, Aissa Boulila, Issam Ghdiri",n.a.
Arion,Fintech,2018,05/2020,http://arion-tech.com,"Éditeur de solutions SaaS spécialisées dans la transformation digitale et l'intelligence artificielle au service du commerce spécialisé, des intermédiaires retails et du banking.",Ahmed Gharbi,n.a.
WARENA,Ad Tech and Creative Tech,2021,03/2021,https://warena.org/,Warena est une plateforme dont le but est de démocratiser le E-Sport pour les amateurs permettant l’organisation des tournois structurés et l’analyse des données des gamers,"Naziha Ouanes, Mohamed Boumiza, Med Amine Jebabli",n.a.
Addvocate AI,Business Software and services,2024,03/2025,https://addvocate.ai,,"Mohamed Ridha Mami, Sofyan Chekir",n.a.
INNOFAB,Ad Tech and Creative Tech,2020,03/2020,http://innofab.tn,INNOFAB est une plateforme collaborative d’innovation ouverte présentant des idées de projets et accompagnant les personnes désirant se lancer dans l’entrepreneuriat.,Nadim Kharraz,n.a.
Seemba Gaming,Ad Tech and Creative Tech,2019,06/2019,https://www.seemba.com,"Seemba est une solution de monétisation de jeux videos, offrant au développeurs de jeux une alternative au publicité, plus rentables et plus addictives pour les joueurs.","Slim Ben Nasrsallah, Jacer Omri, Mohamed Ben Hadj Aissa, Jihed Bibani",n.a.
Addresti,Mobility,2020,09/2020,https://addresti.tn/,Un système d'adressage sur application mobile pour améliorer le service de livraison à domicile et l'accès à l'adresse exacte.,"Ahmed Yassine Allegue, Nour El Houda Benzarti, Mohamed Ali Torjmen, Mohamed Salem Bchir",n.a.
TechAccessibility,Business Software and services,2015,05/2019,http://www.techaccessibility.com,TechAccessibility est spécialisée dans la création de solutions informatiques innovantes pour tous.,Nour Ben Yahia,n.a.
bqube,Business Software and services,2017,05/2022,https://www.bqubeits.com,"BQube ITs est une start-up spécialiste en Industrie4.0. Elle offre la solution QMES en mode SAAS (Software as a Service) exploitable au sein ou en dehors de la structure (accessible de partout), qui permet une gestion et un contrôle h24 du déroulement des activités. Afin de permettre les entreprises industrielles de maîtriser tous les détails du processus de production qui ont un impact négatif sur l'efficacité et la qualité de leurs opérations QMES 4.0 a été conçu pour: - Avoir une meilleure gestion du flux de l'usine - améliorer les pertes de performance, de qualité et de disponibilité -Faire le suivi de l'usine en temps réel. -Analyser le rendement et l'identification des problèmes","Mohamed Abed Bechiri, Mohamed Saidi, Samia Saaidia",b.contact@bqubeits.com
Be bouncy,Ad Tech and Creative Tech,2019,11/2019,,"Be bouncy est une plateforme internet qui regroupe la création de visuels, la gestion des réseaux sociaux et l’analyse des résultats","Ayoub Ben Younes, Sophie Alexandra Aiachi, Assad Ben Mrad",n.a.
Meditech,HealthTech,2021,02/2021,https://sites.google.com/view/anath-health-care,"Anath Health care se spécialise dans la conception, le développement et la distribution des dispositifs médicaux électriques et software pour les hôpitaux et le personnel médical.",Ferid Kamel,n.a.
Digital Health Services & Solutions,HealthTech,2021,01/2022,http://www.dh-ss.com/,Digital Health Services & Solutions est un SaaS automatisant la gestion des bulletins de soins entre interlocuteurs de santé et entreprises et possibilité d'évoluer en réseau social de santé,"Houssem Ben Cheikh , Riadh Dkhil , Mariem Turki , Maher Naouali , Mona Khaled",n.a.
DATASCAI,Business Software and services,2017,08/2020,https://www.datascai.com,PNRGain est une application destinée pour les agences de voyages afin d'optimiser leurs ventes en billetries grâce au algorithmes et l'intelligence artificielle.,Mohamed Karim Bouaziz,n.a.
moudda.com,Commerce and shopping,2020,12/2020,https://www.moudda.com,moudda est une marketplace ayant pour mission de prolonger le cycle de vie de la mode tout en offrant des produits abordables aux consommateurs africains,"Mekki Mouaddeb, Mamoun Benkirane",n.a.
MAZED,Commerce and shopping,2019,05/2020,http://auctionit4her.com/,"MAZED est une plateforme de vente en ligne basée sur les techniques des enchères, spécialisée dans les produits d'artisanat uniques et authentiques fait-main.","Bilel Methnani, Mohamed Aymen Jomaa, Yassine Zrigue",n.a.
EDATA Warehouse,Business Software and services,2022,01/2023,www.edata-warehouse.com,EDATA créée une réplique des données de l'ERP sur le cloud  en les enrichissant par des champs additionnels  et en y aggrégant les données issues de la mobilité et celles d'un site marchand Prestashop.  Une API permet d'interagir avec toutes ces données pour développer tout type d'application orientées métiers.,"Kamel Chahed, Fakhri Jemail",infos@data-warehouse.com
BeNeutron,EdTech,2019,09/2019,https://beneutron.com,BeNeutron est une plateforme de vente de cours éducatifs en ligne dans le domaine de l'IT.,"Zaroui Montasar, Mannai Karim",n.a.
AvoConsulte,Business Software and services,2022,04/2022,https://avoconsulte.com/,Avoconsult est une plateforme simple et rapide pour prendre rendez-vous avec un avocat disponible près de chez vous depuis l'annuaire des avocats pour répondre à vos besoins,Alaa Edinee Ben Mbarek,n.a.
Tchou-Tchou Your school bus tracking App,Mobility,2020,12/2020,,BUS APP offre des solutions cloud pour la gestion des flottes de transport.,"Narjes Ben Slimane, Mohamed Ali Belajouza, Bacem Bergaoui",n.a.
SKANIT,FoodTech & New Food,2022,04/2022,https://skanit.net/,SKANIT est une application web qui offre plusieurs services au gestionnaire de restaurant pour l'aider à bien gérer son établissement,"Abdelkarim Rahal, Nada Dkhil",contact@skanit.net
CURE,HealthTech,2018,11/2019,http://dhaouafimed.wixsite.com/curetunisie,CURE développe des prothèses bioniques personnalisables par impression 3D pour les amputés mais aussi une solution de rééducation physique par la réalité virtuelle,Mohamed Dhaouafi,n.a.
Evolutik,Ad Tech and Creative Tech,2020,12/2020,https://www.evolutik.com,"Evolutik développe une solution d’e-Ticketing EazyTick et un module d’IA. Evolutik souhaite apporter des solutions évolutives et adaptées pour la digitalisation au service de la culture, du sport et de l’événementiel.","Mourad Mathari, Maya Mathari, Mélik Mathari",n.a.
Ste Magicube Industrie,Advanced Manufacturing & Robotics,2020,03/2021,https://magicube.tn/,Magicube Industire recycle des containers maritimes afin d’apporter des solutions économiques et écologiques liées à la construction,Walid Chaabene,n.a.
Bako Motors,Advanced Manufacturing & Robotics,2021,09/2021,http://www.bakomotors.com/,"Bako Motors transforme les véhicules thermiques en véhicules 100% électriques, avec un système d'alimentation solaire, afin d'assurer une autonomie de 40 km par jour, et propose des solutions professionnelles d'adaptation pour une entrée rapide dans la mobilité électrique.","Boubaker Siala, Rached Ben Hmadou, Mahmoud Siala",n.a.
Doctolys,HealthTech,2022,01/2023,www.doctolys.com,"Plateforme de dossier médical informatisé :
- Gratuite pour les médecins.
- Certifiée par les sociétés savantes qui auront accès à la healthcare bigdata utilisée dans la recherche scientifique.
- Financée par les laboratoires pharmaceutiques qui auront accès à des outils innovants de promotion pharmaceutique intégrés dans la plateforme.","Maroua Boubaker, Sadok Derouich, Safwen Derouiche",contact@doctolys.com
Domoticaza,Consumer products and services,2020,05/2020,https://iotics.tn,"IOTICS conçoit, fabrique et commercialise des solutions de Domotique pour les entreprises et les particuliers, Android a transformer les téléphones en Smartphones, IOTICS peut transformer n'importe quel équipement électronique en produit intelligent.","Mohamed Zouhaier Zammel, Youssef Barketi",n.a.
Bookingtodo,TravelTech,2019,01/2020,http://www.bookingtodo.net,Bookingtodo est un comparateurs des comparateurs de prix de vol et d’hôtels. Le concept c’est d’aller fouiller plus loin que la recherche classique sur Kayak et booking. En allant dénicher les meilleurs prix des prestataires partout dans le monde en Chine en Russie.,Aziz Annabi,n.a.
Line Analyzer,Ad Tech and Creative Tech,2024,04/2024,https://lineanalyzer.tn/,,Ali Ibn ammar,n.a.
Makrem Manufacturing,Advanced Manufacturing & Robotics,2020,03/2020,,Makrem Manufacturing développe des supports de coupe à couvercle automatique pour contribuer à la bonne hygiène des boissons au profit des utilisateurs,Makrem Gharbi,n.a.
Beego,Business Software and services,2017,01/2020,,"Beego propose une plateforme web et mobile de mise en relation en TEMPS RÉEL entre les espaces commerciaux et leurs clients, ainsi que les administrations publiques via-des capteurs installés dans les espaces à cette fin.",Amine Sammary,n.a.
UNIK CHIK,Ad Tech and Creative Tech,2018,03/2021,http://www.unikchic.com,Unik Chic est un accélérateur marketplace qui a pour objectif de promouvoir les créateurs de mode premium/luxe et vendre leur produits en ligne,Samia Mbarek,n.a.
SLAMA DATTES,FoodTech & New Food,2017,05/2020,http://www.slamadattes.com,Dates for All / Dattes pour tout le monde:                              Vente des dattes Farcies avec pâtes d'amande et fruits secs dans des coffrets cadeaux par commerce électronique.,Abdelkader Slama,n.a.
ACRIDIDEA,FoodTech & New Food,2023,06/2024,https://www.acrididea.com/,Élevage et transformation de criquet pour alimentation humaine,"Noura AYADI, Najet Ayadi",n.a.
Karriery,EdTech,2022,05/2022,https://www.karriery.com,Karriery est une plateforme qui aide les demandeurs d'emploi à maximiser leurs chances d'obtenir des entretiens d'embauche en les mettant en contact avec des rédacteurs de CV professionnels spécialisés dans leur secteur.,"Halim Boussada, Samy Ben Chaalia",halimboussada10@gmail.com
Mouqawel,Business Software and services,2023,08/2023,https://mouqawel.tn/,Mouqawel.tn : Plateforme digitale dédiée aux Entreprises et Professionnels du secteur du Bâtiment et des Travaux Publics en Tunisie.,ikbel sassi,contact@mouqawel.tn
Soul & Planet,Commerce and shopping,2020,06/2021,https://www.soulandplanet.tn,"Soul & Planet est une plateforme en ligne qui facilite le style de vie sain et écologique, en conseillant et vendant des produits sains et écologiques.","Fatma Midani, Mehdi Achour, Touhami Midani",n.a.
Orthlane,HealthTech,2020,03/2021,https://www.orthlane.com/,Orthlane est une plateforme en ligne spécialisée dans le secteur de l’orthodontie invisible.,Ali Karray,n.a.
Jeeby - دجيبي,Commerce and shopping,2020,12/2020,https://www.jeeby.app/,"Jeeby est une application mobile qui met en relation ces utilisateurs avec tout type de commerce, afin de leur proposer les meilleurs offres et opportunités dans un périmètre géographique prédéfini. Jeeby a pour mission d'accroitre le chiffre d'affaires de ses partenaires et renforcer le pouvoir d'achat de ces utilisateurs.","Malek Zlitni, Walid Bousnina, Chamseddine Bezzaouia",n.a.
Verse,Commerce and shopping,2024,03/2024,https://verse.tn,,Hassen Serkhane,n.a.
TIRA ROBOTS,Advanced Manufacturing & Robotics,2019,11/2019,http://www.tirarobots.com,"TIRA ROBOTS conçoit et fabrique des robots munis de 4, 5 et 6 axes destiné à un usage purement industriel","Wassim ben Hmida, Azza Attia",n.a.
Power solution,Environment,2023,03/2023,https://www.facebook.com/bluepsol,"Notre startup propose une solution innovante pour améliorer l'efficacité et la durabilité de la pêche à la lumière, tout en offrant un confort accru pour les pêcheurs et en protégeant l'environnement. Nous avons développé un générateur électrique à base de batteries, rechargeable grâce à l'énergie solaire ou à l'alternateur du bateau principal, qui alimente des projecteurs LED de haute qualité pour attirer les poissons, tout en éliminant la nécessité d'utiliser une génératrice d'électricité à moteur thermique bruyante et polluante. Mais la véritable innovation réside dans notre application, qui offre une communication sans fil entre le bateau principal et la barque annexe pour la pêche à la lumière. L'application permet aux pêcheurs de consulter en temps réel la position GPS de l'annexe, les images du sondeur, l'état de marche des projecteurs, ainsi que la tension et le courant d'entrée pendant la charge.
Notre application offre également la possibilité de déclencher une alarme en cas de problème ou de danger, ainsi que d'enregistrer une image du sondeur manuellement avec la date, la position GPS et l'état météo a fin de crée une base de données","Eskander Alaya, Ahmed BACCOUCH, Chaima GRIRA",eskander-al@hotmail.com
Finispia,Fintech,2020,08/2020,https://finispia.com/,"Finispia est un outil de recherche des actions conformes aux principes d'investissement islamique sur plus de 90 bourses dans le monde utilisé principalement par des professionnels, particuliers et institutions financières.","Alaa Guidara, Mohamed Kallel",n.a.
UCOD,Business Software and services,2023,01/2024,https://ucod.io,"UCOD est une plateforme de script visuel révolutionnaire qui rend le développement logiciel accessible à tous. Elle propose une interface conviviale pour créer des logiciels sans écrire de code, idéale aussi bien pour les débutants que pour les développeurs expérimentés.",Mouadh Hsoumi,contact@ucod.io
EMNA HUSSEIN,Ad Tech and Creative Tech,2020,06/2021,https://emnahussein.com/,"Emna Hussein est une marque de vêtements, digitale, conçue pour les femmes, quelles que soient leurs morphologies et colorimétries.",Emna Hussein,n.a.
ESKY PROFESSIONAL SERVICES,Business Software and services,2017,02/2020,,"A cloud based global e-commerce logistic platform offering multi-warehousing, order fulfillment, shipping, return management and more.",Kais Khadhraoui,n.a.
SPOFUN,Wellness,2019,05/2022,www.spofun.tn,SPOFUN.tn est une solution qui permet de réserver en temps réel les espaces de sport et de loisir tout en s'organisant entre les coéquipiers.,"Mohamed Sadek SASSI, Samiha Hamdi, Farouk LARIBI",contact@spofun.tn
Kuiklink Technologies,Business Software and services,2019,01/2020,http://www.qwqlink.com,"Kuiklink Technologies est spécialisée en terminaux WiFi et vise à intégrer des solutions innovantes en terme de création de service et d'amélioration de la QoE. Les missions incluent le développement des appliances hotspot, WISP et technologies y liées ainsi que l'implémentation des solutions personnalisées pour les entreprises.",Lotfi Aguerbaoui,n.a.
Womia,HealthTech,2022,10/2022,www.womia.io,Womia développe une plateforme technologique qui permet aux cliniciens d’exploiter en toute sécurité la puissance de l’Intelligence Artificielle (IA) dans leurs workflows cliniques.,"Ouissem Lahouar, Anas Dogui, Sabrine Aidi",sknani@womia.io
BIESSA AUTO,Commerce and shopping,2019,12/2021,http://www.biessaauto.tn,Biessa Auto est une plateforme market place de vente en ligne de pièces de rechange autos dotée de trois moteurs de recherches.,"Sahli Sonia, Ahmed Sahli",n.a.
Winshot,Business Software and services,2019,10/2019,http://www.winshot.net,"Gofield propose via sa solution ""Winshot"" une application web et mobile qui automatise et externalise le merchandising terrain et fourni en temps-réel des analytiques mix marketing pour une exécution optimisée des articles référencées en points de vente.","Walid Mzoughi, Hela Gabsi, Alaa Mokrani",n.a.
Drest.tn,Business Software and services,2021,03/2021,https://www.drest.tn/,"Drest est une Marketplace multimarques destiné au marché du prêt à porter Femme, Homme et enfants.","Mohamed Omrane Mzabi, Malek Mzabi",n.a.
Atome Edtech,EdTech,2023,02/2024,www.atome.tn,"Académie Atome se trouve à la pointe de l'innovation éducative, révolutionnant l'éducation K12 grâce à un contenu novateur qui associe expertise en éducation, technologie numérique et production artistique pour un parcours d'apprentissage transformateur.","Zeidoun Meksi, Adnen Somai, Jawhar Mtar, Yasser Joudi",n.a.
Sala7li,EdTech,2019,11/2019,http://sala7li.tn,Sala7li est une plateforme de correction d'exercices scientifiques et de dissertations littéraires destinée aux étudiants,"Mohamed Aymen Ben Hadj Mabrouk, Ines Dhaouadi",n.a.
Grabingo,Business Software and services,2019,01/2020,http://www.grabingo.app,"Grabingo est une plateforme d'acquisition, d'engagement et rétention des clients",Mohamed Khalloufi,n.a.
Tuntales Interactive,Ad Tech and Creative Tech,2020,08/2021,,"Tuntales Interactive,avec leurs projet Hkeya w Ebra , spécialisé dans le développement de jeux vidéo, propose des expériences éducatives et interactives aux enfants. Leur objectif est de promouvoir le patrimoine immatériel de la Tunisie.","Youssef Dridi, Atef Boutara, Yatim Omar, Firas Ben Ghayadha",n.a.
AfiaTech,HealthTech,2020,09/2020,https://medicatn-c6c40.firebaseapp.com/,AfiaTech offre des solutions technologiques pour faciliter le quotidien des professionnels de santé.,Laith Glissa,n.a.
Ticketchainer,Business Software and services,2020,08/2021,https://www.ticketchainer.com/,Ticketchainer ciblant les clubs et événements sportifs avec une solution 100% cloud qui couple billetterie et fidélisation via un système de gamification intégré au parcours d’achat.,"Sami Bouden, Walid Karray, Obeyd Melliti",n.a.
Black Dune Studio,EdTech,2017,09/2019,http://www.blackdunestudio.com,Black Dune Studio produit un contenu éducatif s'appuyant sur la réalité virtuelle et augmentée.,Mohamed Ali Hammami,n.a.
xscan,Business Software and services,2024,04/2024,https://xscan.me,,"houssem eddine rammeh, Oussama Ben Wahiba, Abderrahim Gdah",n.a.
Rent a tutor,EdTech,2020,09/2020,http://scaphandry.com,Scaphandry offre une solution de cours extrascolaire en ligne pour faciliter le tutorat entre enseignants et élèves.,Abdeljalil Ghattas,n.a.
Quenzi,Commerce and shopping,2022,11/2022,,Quenzi is a peer to peer dress rental platform that makes it possible for women to wear high quality dresses at affordable prices,Mariem Limam,mariem.limam@quenzi.tn
Gigsdesk,Business Software and services,2022,06/2023,https://www.gigsdesk.com,"Gigsdesk, le produit phare de la société LGGU, est une plateforme de freelance utilisant l'IA en matching. Trouvez les projets idéaux qui correspondent à vos compétences grâce à cette innovation de pointe. Boostez votre carrière freelance avec Gigsdesk dès aujourd'hui !","Koussay Noomene, Iyed Ghribi, Nabil Amara",contact@gigsdesk.com
iFarming Solutions,Agritech,2022,02/2023,https://ifarming-solutions.com/,Mobile app for real time crop advisory,"Rabeb FERSI, Samir CHEBIL, Chahine FERSI, Yassine AWADNI, Riadh JOMAA",contact@ifarming-solutions.com
VIRGIN,Environment,2021,05/2021,http://blasterozone.tn/,"BOS Blaster Ozone solutions conçoit, fabrique et commercialise des purificateurs par ozone qui permettent de désinfecter l’air et les surfaces (éliminer tous types de micro-organismes) . Le purificateur se veut autonome (par batterie) et tournant à 360°","Ahmed Aziz Chaker, Mourad Chaker",n.a.
Tunisia Baits,Agritech,2019,03/2023,https://www.tunisiabaits.com/,"Tunisia Baits est la première startup en biotech en Tunisie, Afrique et bassin méditerranéen, nous avons mis en place une nouvelle technologie pour la production des vers marins utilisés pour:
-appâts pour les pêcheurs
-aliment durable pour les fermes aquacoles
-de-pollueurs naturels des sols marins contaminés en métaux lourds","Ahmed Malek, Marwen Mokdad",mokdadmarwen@gmail.com
P&FF-SWM,Agritech,2019,09/2019,,"Digismart solutions offre des solutions IoT et IA pour une gestion intelligente des bassins. Controle et maitrise des bassins à distance en temps réel« any where & any time""","Afef Bohli, Sami Tabbane",n.a.
E W,Commerce and shopping,2020,12/2020,http://ewiddy.com,EW propose des solutions Multi Vendor Marketplace pour soutenir les créateurs et petites entreprises pour développer leurs business. EW démocratise l'accès à l'entrepreneuriat en facilitant l'achat et la vente de biens à moindre risque.,Mohamed Baazaoui,n.a.
XLAiner,EdTech,2022,06/2023,www.xlainer.com,XLainer est une société Edtech qui vise à aider le secteur de l'éducation à développer des solutions et à gérer des parcours d'apprentissage en utilisant des stratégies axées sur l'IA et centrées sur l'apprenant.,"Yosr Halleb, Oussama Bahri, Mariem Allouche",yosr.halleb@xlainer.com
Coart Container Creatif,Ad Tech and Creative Tech,2020,08/2021,https://coartsfax.wordpress.com/,"Coart Container Creatif est un coliving & coworking space dédié pour le Tourisme Créatif et Culturel, qui héberge et aide les Associations , Artistes, Freelancers Creatifs locaux, étranger à assurer leurs activités de formation ,Creation,Production,Exposition.","Malek Maazoun, Yassine Mseddi",n.a.
BankeID,Security,2021,07/2021,https://www.tido.tn,BankeID est une plateforme d’identification électronique via le téléphone mobile basée sur l'identité bancaire.,"Karim Jebali, Wael Kassis",n.a.
Festin/Vetcare,Agritech,2019,12/2021,https://www.instagram.com/festinpetfood/,Vet Care produit des additifs nutritionnels pour animaux d’élevage et de compagnie.,"Lamine Bouzguenda, Khellil Bouzguenda, Sarah Tatiana Bouzguenda, Mestiri Faouzi, Rania Ben hassine",n.a.
VDOC,HealthTech,2019,02/2020,http://www.vdocapp.com,"VdocLabs présente une fusion des connaissances et des compétences médicales avec l'intelligence artificielle, elle permet la prévision approximative des maladies des patients ensuite la recommandation des spécialistes ainsi que l'organisation de leur parcours médicaux et leur gestion des médicaments, d'autre part l'optimisation de l'activité des médecins.",Mohamed Aymen Saadani,n.a.
Historio,Ad Tech and Creative Tech,2019,09/2019,http://www.historioo.com,HISTORIO is working on the enhancement of heritage throught technology and gaming. We make history accesible and fun using gaming and augmented reality.,"Youssef Boufaied, Mustapha Gharbi, Marwen Sami, Skander Amor",n.a.
D-WEE,HealthTech,2020,12/2020,,D-WEE est une start-up spécialisée dans le développement des équipements médicaux et spécialement les machines de respiration.,"Mohamed Mabrouk, Nemine Marzouki, Taha Grach, Bassem Mlayah",n.a.
TUNISIE ENCHERE,Commerce and shopping,2020,01/2022,https://tunisie-enchere.com/,Tunisie Enchere est une plateforme de vente en ligne aux enchères et à prix fixe,Yassine Jebir,contact@tunisie-enchere.com
Lanterns,Ad Tech and Creative Tech,2020,05/2022,https://www.lanterns-studios.com/,"Studio de développement de jeux videos et services XR, Virtual Production et Motion Capture.","Jihed Jaouabi, Nabil Braham, Oussama Ben mariem",jihed.jaouabi@lanterns-studios.com
Shotime,Ad Tech and Creative Tech,2021,01/2022,http://www.shoti.me,Shotime est une plateforme de photographie qui permet la mise en relation entre les créatifs (Photographes et vidéastes) et les entreprises pour des prestations créatives en automatisant la chaîne de production et d'administration.,"Souhail Berhouma, Eya Kochta, Saifeddine Berhouma",n.a.
KAPTY,Mobility,2019,09/2019,https://www.kapty.net/,KAPTY offre une solution de mise en relation entre les chauffeurs de Taxi et leurs clients qui leur permet d’optimiser leur temps et leur budget.,"Amine Allah Manai, Khaled Dridi",n.a.
DLSgaming,Ad Tech and Creative Tech,2022,04/2023,https://dlsgaming.com/home,"DLS gaming est une plateforme en ligne dédiée à l'e-sport qui vise à offrir aux joueurs de tous les niveaux un environnement stimulant et compétitif pour participer à des tournois et concourir pour des prix réels. En plus de cela, DLS offre des sessions de coaching et de formation pour aider les joueurs à améliorer leur jeu et à développer leurs compétences.

La mission de DLS gaming est de fournir une expérience de jeu passionnante et éducative pour les joueurs, tout en les aidant à atteindre leur plein potentiel et à lancer leur carrière de joueur professionnel. Avec nos tournois de haut niveau, nous défions les joueurs à améliorer leurs compétences et à se surpasser pour devenir les meilleurs joueurs du monde entier.

Chez DLS gaming, nous sommes fiers d'offrir une communauté de joueurs passionnés de jeux vidéo, qui peuvent se connecter avec d'autres joueurs partageant les mêmes intérêts et compétences. Nous croyons que l'encadrement des joueurs est essentiel pour les aider à réussir, et nous travaillons dur pour fournir les meilleurs outils et ressources pour les aider à atteindre leurs objectifs.","Mansour Noucair, Mansour Haroun, Khalil Dridi",mansournoucair@dlsgaming.com
Smart City,Business Software and services,2020,12/2020,http://wow-soft.com,"Une plate-forme destinée aux villes et aux petites communautés, où elle crée un centre de communication entre le propriétaire du service ou du produit et la population des villes avec un guide complet de ville qui cherche à construire une ville virtuelle parallèle, synchronisée et intégrée avec la réalité.",ali boukhachem,n.a.
ROAMSMART,Business Software and services,2012,04/2019,https://roam-smart.com/,Roamsmart aide les opérateurs de téléphonie mobile dans la transformation numérique de leur activité roaming a travers des solutions SaaS innovantes.,"Walid Chamekh, Mehdi Triki",n.a.
Allô Réparateur,Commerce and shopping,2020,07/2020,                                 http://www.allo-reparateur.tn,Allo Réparateur est spécialisé dans la réparation de tous types d’appareils électroniques domestiques et industriels avec un réseau de laboratoires sur toute la Tunisie.,"Aymen Bouchoucha, Mohamed Saïd El Behi",n.a.
RoboCare,Agritech,2020,11/2020,http://www.robocare.tn,Robocare offre une solution pour résoudre la propagation rapide des maladies chez les plantes sous serres et l'utilisation massive des pesticides. Robocare détecte les maladies à une étape précoce en utilisant la technologie spectrale ce qui va améliorer la qualité et la quantité des récoltes et diminuer l’utilisation des pesticides.,"Imen Hbiri, Abdelaziz Kallel",n.a.
Bon'Heure,Business Software and services,2019,11/2019,http://www.b-heure.com,"Bon’Heure est une plateforme intelligente permettant l’optimisation et la facilitation du quotidien des entreprises et de leurs collaborateurs.                              En s’engageant pour un meilleur équilibre vie pro – vie perso et en soutenant la performance tant individuelle que collective, B’H est le partenaire et l’interlocuteur unique pour la vie en entreprise.","Nour Tekaya, Skander Gafsi",n.a.
Tunarco,Advanced Manufacturing & Robotics,2021,04/2023,https://tunarco.com/,,"nassira barhoumi, Marwen El bari",n.a.
WAKAHAW,Business Software and services,2017,06/2020,http://www.wakahaw.com,"Mise en place de solutions d’aide à la décision en Business Intelligence, Conseil et Formation dans le domaine informatique.","Kais Ben Amar, Haythem Benna, Wajih Hajji",n.a.
FINWEDGE MEA,Fintech,2022,06/2022,,"Une société innovante développeuse d’une plateforme digitale
a fait recours à l’intelligence artificielle pour fournir des
opportunités d'investissement aux entreprises et aux institutions
financières, proposer différents services et boîtes à outils
numériques qui permettent aux investisseurs et aux entreprises
d'élaborer et de suivre leur propre stratégie en ligne et, en
particulier, aux gestionnaires de fonds de diversifier leur
portefeuille de private equity dans différents secteurs et
régions.","Chaouki Charfeddine, Delphine MONTI",ccharfeddine@finwedge.com
Expensya,Fintech,2014,05/2019,https://www.expensya.com/,Expensya offre l'automatisation de la gestion des notes de frais - worldwide,Karim Jouini,n.a.
Services voitures épaves (SVE),Business Software and services,2020,12/2020,,"Services Voitures Epaves permet de digitaliser et faciliter les transactions entre les assurances, les épavistes et les experts automobiles dans le domaine des voitures épaves.","Farah M'seddi, Slim M'seddi, Jalel SATOURI",n.a.
Smart Farm,Agritech,2018,09/2019,https://smart-farm.sspro.tn,"Smart Soft PRO est une société d’ingénierie spécialisée dans le développement de solutions technologiques sur mesure spécialement au secteur agricole basées sur l’IoT. Software, Hardware, Robotique et Drone.","Bechir Ben Brika, Hamza Khechine",n.a.
TOLLXPRESS,Mobility,2024,11/2024,www.tollxpress.fr,,"Mondher Ayadi, YOSRI AYADI",n.a.
Go To Match,Ad Tech and Creative Tech,2019,07/2021,https://gotomatch.tn,"GOTOMATCH est une plateforme spécialisée dans le sport électronique, elle propose des tournois physiques et en ligne de jeux vidéo.","Youssef Boumahdef, Wissem Ata, Khaled Hamila",n.a.
Youth Hub,EdTech,2019,03/2020,https://www.youthhub.community/,Youth Hub est un Hub d'Entrepreneuriat et de Design pour les enfants âgés de 6 à 18 ans.,"Achref Mattar, Salsabil Thabti",achref@youthhub.community
Tashfeen,Business Software and services,2020,12/2020,https://tashfeen.tech/,"Tashfeen développe des logiciels et des applications en ingénierie civile et mécanique. Ses clients cibles sont les bureau d'études, les universités et les entrepreneurs.","Wafi Bouassida, Mounir Bouassida",n.a.
Dash Sports,Wellness,2024,03/2025,www.dashsports.tn,,"melek chakchouk, Jawhar Ben Salem, Hatem Halouani, Bilel Ben atitallah",n.a.
MajestEYE,Business Software and services,2017,06/2019,https://www.majesteye.com,MajestEYE est un éditeur de solutions d'analyse de données dont la mission est de permettre à ses clients de réussir la transition vers un modèle opérationnel et d'affaires basés sur les données.,"Jihed Hannachi, Rabie Saidi",n.a.
Taxiora,Mobility,2019,05/2021,https://www.taxiora.tn,"TAXIORA est un taximètre Android connecté, sous forme d’une tablette intégrant une application, destinée aux propriétaires / chauffeurs de taxi.","Walid Saadaoui, Khaled Benlatrach, Raouia Magroun",n.a.
ACRIDIDEA,FoodTech & New Food,2023,06/2024,https://www.acrididea.com/,,"Noura AYADI, Najet Ayadi",n.a.
istishara,Business Software and services,2021,12/2021,https://istishara.com.tn,"Istishara est une application mobile de consultation directe a voix vive à tout moment dans les domaines juridique, fiscal, et affaires.",Atef Azizi,n.a.
